marker,candidate_positive,candidate_total,candidate_detection_fraction,other_positive,other_total,other_detection_fraction,odds_ratio,fisher_pvalue,fdr_bh
TPH1-like,30,226,0.13274336283185842,16,4912,0.003257328990228013,46.83673469387755,1.5647660110299767e-30,3.651120692403279e-30
DDC-like,8,226,0.035398230088495575,4,4912,0.0008143322475570033,45.027522935779814,5.274946786524542e-09,6.154104584278632e-09
VMAT-like 1,30,226,0.13274336283185842,10,4912,0.002035830618892508,75.03061224489795,1.679467659932089e-33,5.878136809762311e-33
VMAT-like 2,7,226,0.030973451327433628,11,4912,0.002239413680781759,14.241178912411788,6.103477912567288e-06,6.103477912567288e-06
DAT-like supporting,17,226,0.0752212389380531,14,4912,0.0028501628664495114,28.45727956254272,7.317479730647346e-16,1.2805589528632855e-15
any_VMAT,36,226,0.1592920353982301,21,4912,0.004275244299674267,44.12932330827068,8.411361324392205e-36,5.887952927074544e-35
TPH1_support,8,226,0.035398230088495575,2,4912,0.00040716612377850165,90.09174311926606,5.178971737408328e-10,7.250560432371659e-10
